timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,heat,2,2035,2025,heatpump,all-year,all-week,night,0.40000000000
0,heat,4,2035,2030,heatpump,all-year,all-week,night,2.00000000000
0,heat,4,2040,2030,heatpump,all-year,all-week,night,2.33330000000
0,heat,7,2035,2025,heatpump,all-year,all-week,night,0.40000000000
0,heat,9,2035,2030,heatpump,all-year,all-week,night,2.00000000000
0,heat,9,2040,2030,heatpump,all-year,all-week,night,2.33330000000
1,heat,2,2035,2025,heatpump,all-year,all-week,morning,0.60000000000
1,heat,4,2035,2030,heatpump,all-year,all-week,morning,3.00000000000
1,heat,4,2040,2030,heatpump,all-year,all-week,morning,3.50000000000
1,heat,7,2035,2025,heatpump,all-year,all-week,morning,0.60000000000
1,heat,9,2035,2030,heatpump,all-year,all-week,morning,3.00000000000
1,heat,9,2040,2030,heatpump,all-year,all-week,morning,3.50000000000
2,heat,2,2035,2025,heatpump,all-year,all-week,afternoon,0.40000000000
2,heat,4,2035,2030,heatpump,all-year,all-week,afternoon,2.00000000000
2,heat,4,2040,2030,heatpump,all-year,all-week,afternoon,2.33330000000
2,heat,7,2035,2025,heatpump,all-year,all-week,afternoon,0.40000000000
2,heat,9,2035,2030,heatpump,all-year,all-week,afternoon,2.00000000000
2,heat,9,2040,2030,heatpump,all-year,all-week,afternoon,2.33330000000
3,heat,2,2035,2025,heatpump,all-year,all-week,early-peak,0.60000000000
3,heat,4,2035,2030,heatpump,all-year,all-week,early-peak,3.00000000000
3,heat,4,2040,2030,heatpump,all-year,all-week,early-peak,3.50000000000
3,heat,7,2035,2025,heatpump,all-year,all-week,early-peak,0.60000000000
3,heat,9,2035,2030,heatpump,all-year,all-week,early-peak,3.00000000000
3,heat,9,2040,2030,heatpump,all-year,all-week,early-peak,3.50000000000
4,heat,2,2035,2025,heatpump,all-year,all-week,late-peak,1.20000000000
4,heat,4,2035,2030,heatpump,all-year,all-week,late-peak,6.00000000000
4,heat,4,2040,2030,heatpump,all-year,all-week,late-peak,7.00000000000
4,heat,7,2035,2025,heatpump,all-year,all-week,late-peak,1.20000000000
4,heat,9,2035,2030,heatpump,all-year,all-week,late-peak,6.00000000000
4,heat,9,2040,2030,heatpump,all-year,all-week,late-peak,7.00000000000
5,heat,2,2035,2025,heatpump,all-year,all-week,evening,0.80000000000
5,heat,4,2035,2030,heatpump,all-year,all-week,evening,4.00000000000
5,heat,4,2040,2030,heatpump,all-year,all-week,evening,4.66670000000
5,heat,7,2035,2025,heatpump,all-year,all-week,evening,0.80000000000
5,heat,9,2035,2030,heatpump,all-year,all-week,evening,4.00000000000
5,heat,9,2040,2030,heatpump,all-year,all-week,evening,4.66670000000
