,asset,year,region,installed,technology,capacity
2,0,2050,R1,2025,gassupply1,8.55060000000
3,0,2055,R1,2025,gassupply1,8.55060000000
4,0,2064,R1,2025,gassupply1,8.55060000000
14,1,2050,R1,2030,gassupply1,6.26530000000
15,1,2055,R1,2030,gassupply1,6.26530000000
16,1,2064,R1,2030,gassupply1,6.26530000000
17,1,2065,R1,2030,gassupply1,6.26530000000
18,1,2069,R1,2030,gassupply1,6.26530000000
26,2,2050,R1,2035,gassupply1,0.34060000000
27,2,2055,R1,2035,gassupply1,0.34060000000
28,2,2064,R1,2035,gassupply1,0.34060000000
29,2,2065,R1,2035,gassupply1,0.34060000000
30,2,2069,R1,2035,gassupply1,0.34060000000
31,2,2070,R1,2035,gassupply1,0.34060000000
32,2,2074,R1,2035,gassupply1,0.34060000000
38,3,2050,R1,2040,gassupply1,1.01200000000
39,3,2055,R1,2040,gassupply1,1.01200000000
40,3,2064,R1,2040,gassupply1,1.01200000000
41,3,2065,R1,2040,gassupply1,1.01200000000
42,3,2069,R1,2040,gassupply1,1.01200000000
43,3,2070,R1,2040,gassupply1,1.01200000000
44,3,2074,R1,2040,gassupply1,1.01200000000
45,3,2075,R1,2040,gassupply1,1.01200000000
46,3,2079,R1,2040,gassupply1,1.01200000000
