,asset,year,region,technology,installed,capacity
0,0,2035,R1,gassupply1,2025,8.55060000000
1,0,2040,R1,gassupply1,2025,8.55060000000
2,0,2045,R1,gassupply1,2025,8.55060000000
3,0,2050,R1,gassupply1,2025,8.55060000000
4,0,2064,R1,gassupply1,2025,8.55060000000
10,1,2035,R1,gassupply1,2030,6.26530000000
11,1,2040,R1,gassupply1,2030,6.26530000000
12,1,2045,R1,gassupply1,2030,6.26530000000
13,1,2050,R1,gassupply1,2030,6.26530000000
14,1,2064,R1,gassupply1,2030,6.26530000000
15,1,2065,R1,gassupply1,2030,6.26530000000
16,1,2069,R1,gassupply1,2030,6.26530000000
21,2,2040,R1,gassupply1,2035,0.34060000000
22,2,2045,R1,gassupply1,2035,0.34060000000
23,2,2050,R1,gassupply1,2035,0.34060000000
24,2,2064,R1,gassupply1,2035,0.34060000000
25,2,2065,R1,gassupply1,2035,0.34060000000
26,2,2069,R1,gassupply1,2035,0.34060000000
27,2,2070,R1,gassupply1,2035,0.34060000000
28,2,2074,R1,gassupply1,2035,0.34060000000
