,timeslice,region,technology,year,agent,category,sector,EAC
0,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A1,retrofit,residential,3.37026532811
1,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A1,retrofit,residential,11.91786400381
2,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A1,retrofit,residential,5.88142942178
3,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A1,retrofit,residential,17.76652426229
4,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A1,retrofit,residential,3.37026532811
5,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A1,retrofit,residential,11.91786400381
6,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A1,retrofit,residential,5.88142942178
7,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A1,retrofit,residential,17.76652426229
8,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A1,retrofit,residential,21.86449798550
9,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A1,retrofit,residential,34.56262106637
10,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A1,retrofit,residential,9.51499786456
11,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A1,retrofit,residential,23.50735924764
12,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A2,retrofit,residential,1.44439942633
13,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A2,retrofit,residential,5.10765600163
14,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A2,retrofit,residential,2.52061260934
15,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A2,retrofit,residential,7.61422468384
16,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A2,retrofit,residential,1.44439942633
17,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A2,retrofit,residential,5.10765600163
18,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A2,retrofit,residential,2.52061260934
19,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A2,retrofit,residential,7.61422468384
20,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A2,retrofit,residential,9.37049913664
21,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A2,retrofit,residential,14.81255188559
22,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A2,retrofit,residential,4.07785622767
23,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A2,retrofit,residential,10.07458253470
24,"('all-year', 'all-week', 'night')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
25,"('all-year', 'all-week', 'night')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
26,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
27,"('all-year', 'all-week', 'morning')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
28,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
29,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
30,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
31,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
32,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
33,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
34,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
35,"('all-year', 'all-week', 'evening')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
36,"('all-year', 'all-week', 'night')",R1,gassupply1,2020,A1,retrofit,gas,85.48631786481
37,"('all-year', 'all-week', 'night')",R1,gassupply2,2020,A1,retrofit,gas,152.72048343447
38,"('all-year', 'all-week', 'night')",R1,gassupply3,2020,A1,retrofit,gas,219.95464897958
39,"('all-year', 'all-week', 'morning')",R1,gassupply1,2020,A1,retrofit,gas,126.54694704980
40,"('all-year', 'all-week', 'morning')",R1,gassupply2,2020,A1,retrofit,gas,227.39819540428
41,"('all-year', 'all-week', 'morning')",R1,gassupply3,2020,A1,retrofit,gas,328.24944372196
42,"('all-year', 'all-week', 'afternoon')",R1,gassupply1,2020,A1,retrofit,gas,85.48631786481
43,"('all-year', 'all-week', 'afternoon')",R1,gassupply2,2020,A1,retrofit,gas,152.72048343447
44,"('all-year', 'all-week', 'afternoon')",R1,gassupply3,2020,A1,retrofit,gas,219.95464897958
45,"('all-year', 'all-week', 'early-peak')",R1,gassupply1,2020,A1,retrofit,gas,126.54694704980
46,"('all-year', 'all-week', 'early-peak')",R1,gassupply2,2020,A1,retrofit,gas,227.39819540428
47,"('all-year', 'all-week', 'early-peak')",R1,gassupply3,2020,A1,retrofit,gas,328.24944372196
48,"('all-year', 'all-week', 'late-peak')",R1,gassupply1,2020,A1,retrofit,gas,234.94974505448
49,"('all-year', 'all-week', 'late-peak')",R1,gassupply2,2020,A1,retrofit,gas,436.65224176344
50,"('all-year', 'all-week', 'late-peak')",R1,gassupply3,2020,A1,retrofit,gas,638.35473839879
51,"('all-year', 'all-week', 'evening')",R1,gassupply1,2020,A1,retrofit,gas,165.59155967422
52,"('all-year', 'all-week', 'evening')",R1,gassupply2,2020,A1,retrofit,gas,300.05989081353
53,"('all-year', 'all-week', 'evening')",R1,gassupply3,2020,A1,retrofit,gas,434.52822190376
54,"('all-year', 'all-week', 'night')",R1,gasboiler,2025,A1,retrofit,residential,4.24224137676
55,"('all-year', 'all-week', 'night')",R1,heatpump,2025,A1,retrofit,residential,13.01689880463
56,"('all-year', 'all-week', 'morning')",R1,gasboiler,2025,A1,retrofit,residential,7.30056455901
57,"('all-year', 'all-week', 'morning')",R1,heatpump,2025,A1,retrofit,residential,19.47053295474
58,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2025,A1,retrofit,residential,4.24224137676
59,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2025,A1,retrofit,residential,13.01689880463
60,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2025,A1,retrofit,residential,7.30056455901
61,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2025,A1,retrofit,residential,19.47053295474
62,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2025,A1,retrofit,residential,24.36547313872
63,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2025,A1,retrofit,residential,38.78072339874
64,"('all-year', 'all-week', 'evening')",R1,gasboiler,2025,A1,retrofit,residential,11.45986282023
65,"('all-year', 'all-week', 'evening')",R1,heatpump,2025,A1,retrofit,residential,25.88334425326
66,"('all-year', 'all-week', 'night')",R1,gasboiler,2025,A2,retrofit,residential,1.81810344718
67,"('all-year', 'all-week', 'night')",R1,heatpump,2025,A2,retrofit,residential,5.57867091627
68,"('all-year', 'all-week', 'morning')",R1,gasboiler,2025,A2,retrofit,residential,3.12881338243
69,"('all-year', 'all-week', 'morning')",R1,heatpump,2025,A2,retrofit,residential,8.34451412346
70,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2025,A2,retrofit,residential,1.81810344718
71,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2025,A2,retrofit,residential,5.57867091627
72,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2025,A2,retrofit,residential,3.12881338243
73,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2025,A2,retrofit,residential,8.34451412346
74,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2025,A2,retrofit,residential,10.44234563088
75,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2025,A2,retrofit,residential,16.62031002803
76,"('all-year', 'all-week', 'evening')",R1,gasboiler,2025,A2,retrofit,residential,4.91136978010
77,"('all-year', 'all-week', 'evening')",R1,heatpump,2025,A2,retrofit,residential,11.09286182283
78,"('all-year', 'all-week', 'night')",R1,gasCCGT,2025,A1,retrofit,power,2.04015058921
79,"('all-year', 'all-week', 'night')",R1,windturbine,2025,A1,retrofit,power,3.50360351255
80,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2025,A1,retrofit,power,3.30876059474
81,"('all-year', 'all-week', 'morning')",R1,windturbine,2025,A1,retrofit,power,5.09692248951
82,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2025,A1,retrofit,power,2.04015058921
83,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2025,A1,retrofit,power,3.50360351255
84,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2025,A1,retrofit,power,3.30876059474
85,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2025,A1,retrofit,power,5.09692248951
86,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2025,A1,retrofit,power,8.87205952111
87,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2025,A1,retrofit,power,8.05639517185
88,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2025,A1,retrofit,power,4.84941947614
89,"('all-year', 'all-week', 'evening')",R1,windturbine,2025,A1,retrofit,power,6.47449081226
90,"('all-year', 'all-week', 'night')",R1,gassupply1,2025,A1,retrofit,gas,77.45311160175
91,"('all-year', 'all-week', 'night')",R1,gassupply2,2025,A1,retrofit,gas,138.42098513077
92,"('all-year', 'all-week', 'night')",R1,gassupply3,2025,A1,retrofit,gas,199.38885863756
93,"('all-year', 'all-week', 'morning')",R1,gassupply1,2025,A1,retrofit,gas,114.65455485925
94,"('all-year', 'all-week', 'morning')",R1,gassupply2,2025,A1,retrofit,gas,206.10636515278
95,"('all-year', 'all-week', 'morning')",R1,gassupply3,2025,A1,retrofit,gas,297.55817541295
96,"('all-year', 'all-week', 'afternoon')",R1,gassupply1,2025,A1,retrofit,gas,77.45311160175
97,"('all-year', 'all-week', 'afternoon')",R1,gassupply2,2025,A1,retrofit,gas,138.42098513077
98,"('all-year', 'all-week', 'afternoon')",R1,gassupply3,2025,A1,retrofit,gas,199.38885863756
99,"('all-year', 'all-week', 'early-peak')",R1,gassupply1,2025,A1,retrofit,gas,114.65455485925
100,"('all-year', 'all-week', 'early-peak')",R1,gassupply2,2025,A1,retrofit,gas,206.10636515278
101,"('all-year', 'all-week', 'early-peak')",R1,gassupply3,2025,A1,retrofit,gas,297.55817541295
102,"('all-year', 'all-week', 'late-peak')",R1,gassupply1,2025,A1,retrofit,gas,212.86685352395
103,"('all-year', 'all-week', 'late-peak')",R1,gassupply2,2025,A1,retrofit,gas,395.77047411102
104,"('all-year', 'all-week', 'late-peak')",R1,gassupply3,2025,A1,retrofit,gas,578.67409463137
105,"('all-year', 'all-week', 'evening')",R1,gassupply1,2025,A1,retrofit,gas,150.02908076179
106,"('all-year', 'all-week', 'evening')",R1,gassupply2,2025,A1,retrofit,gas,271.96482781983
107,"('all-year', 'all-week', 'evening')",R1,gassupply3,2025,A1,retrofit,gas,393.90057483340
108,"('all-year', 'all-week', 'night')",R1,gasboiler,2030,A1,retrofit,residential,6.92915753859
109,"('all-year', 'all-week', 'night')",R1,heatpump,2030,A1,retrofit,residential,14.11898759662
110,"('all-year', 'all-week', 'morning')",R1,gasboiler,2030,A1,retrofit,residential,11.37925102924
111,"('all-year', 'all-week', 'morning')",R1,heatpump,2030,A1,retrofit,residential,21.19238537031
112,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2030,A1,retrofit,residential,6.92915753859
113,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2030,A1,retrofit,residential,14.11898759662
114,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2030,A1,retrofit,residential,11.37925102924
115,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2030,A1,retrofit,residential,21.19238537031
116,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2030,A1,retrofit,residential,32.63426640048
117,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2030,A1,retrofit,residential,42.15327123910
118,"('all-year', 'all-week', 'evening')",R1,gasboiler,2030,A1,retrofit,residential,16.96828565244
119,"('all-year', 'all-week', 'evening')",R1,heatpump,2030,A1,retrofit,residential,28.23963574853
120,"('all-year', 'all-week', 'night')",R1,gasboiler,2030,A2,retrofit,residential,2.96963894511
121,"('all-year', 'all-week', 'night')",R1,heatpump,2030,A2,retrofit,residential,6.05099468427
122,"('all-year', 'all-week', 'morning')",R1,gasboiler,2030,A2,retrofit,residential,4.87682186967
123,"('all-year', 'all-week', 'morning')",R1,heatpump,2030,A2,retrofit,residential,9.08245087299
124,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2030,A2,retrofit,residential,2.96963894511
125,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2030,A2,retrofit,residential,6.05099468427
126,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2030,A2,retrofit,residential,4.87682186967
127,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2030,A2,retrofit,residential,9.08245087299
128,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2030,A2,retrofit,residential,13.98611417163
129,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2030,A2,retrofit,residential,18.06568767390
130,"('all-year', 'all-week', 'evening')",R1,gasboiler,2030,A2,retrofit,residential,7.27212242247
131,"('all-year', 'all-week', 'evening')",R1,heatpump,2030,A2,retrofit,residential,12.10270103508
132,"('all-year', 'all-week', 'night')",R1,gasCCGT,2030,A1,retrofit,power,5.86320984716
133,"('all-year', 'all-week', 'night')",R1,windturbine,2030,A1,retrofit,power,7.55117509959
134,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2030,A1,retrofit,power,9.23009025401
135,"('all-year', 'all-week', 'morning')",R1,windturbine,2030,A1,retrofit,power,10.86267601026
136,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2030,A1,retrofit,power,5.86320984716
137,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2030,A1,retrofit,power,7.55117509959
138,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2030,A1,retrofit,power,9.23009025401
139,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2030,A1,retrofit,power,10.86267601026
140,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2030,A1,retrofit,power,22.74991621923
141,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2030,A1,retrofit,power,16.33071978436
142,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2030,A1,retrofit,power,13.12098895202
143,"('all-year', 'all-week', 'evening')",R1,windturbine,2030,A1,retrofit,power,13.62259230481
144,"('all-year', 'all-week', 'night')",R1,gassupply1,2030,A1,retrofit,gas,66.44209095477
