,timeslice,region,technology,year,agent,category,sector,LCOE
0,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A1,retrofit,residential,5.36825673550
1,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A1,retrofit,residential,17.57911198650
2,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A1,retrofit,residential,6.48994323378
3,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A1,retrofit,residential,17.80908117712
4,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A1,retrofit,residential,5.36825673550
5,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A1,retrofit,residential,17.57911198650
6,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A1,retrofit,residential,6.48994323378
7,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A1,retrofit,residential,17.80908117712
8,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A1,retrofit,residential,12.53799291549
9,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A1,retrofit,residential,18.58471819210
10,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A1,retrofit,residential,8.05879476321
11,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A1,retrofit,residential,18.05333860826
12,"('all-year', 'all-week', 'night')",R1,gasboiler,2020,A2,retrofit,residential,5.36825673550
13,"('all-year', 'all-week', 'night')",R1,heatpump,2020,A2,retrofit,residential,17.57911198650
14,"('all-year', 'all-week', 'morning')",R1,gasboiler,2020,A2,retrofit,residential,6.48994323378
15,"('all-year', 'all-week', 'morning')",R1,heatpump,2020,A2,retrofit,residential,17.80908117712
16,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2020,A2,retrofit,residential,5.36825673550
17,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2020,A2,retrofit,residential,17.57911198650
18,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2020,A2,retrofit,residential,6.48994323378
19,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2020,A2,retrofit,residential,17.80908117712
20,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2020,A2,retrofit,residential,12.53799291549
21,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2020,A2,retrofit,residential,18.58471819210
22,"('all-year', 'all-week', 'evening')",R1,gasboiler,2020,A2,retrofit,residential,8.05879476321
23,"('all-year', 'all-week', 'evening')",R1,heatpump,2020,A2,retrofit,residential,18.05333860826
24,"('all-year', 'all-week', 'night')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
25,"('all-year', 'all-week', 'night')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
26,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
27,"('all-year', 'all-week', 'morning')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
28,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
29,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
30,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
31,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
32,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
33,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
34,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2020,A1,retrofit,power,0.00000000000
35,"('all-year', 'all-week', 'evening')",R1,windturbine,2020,A1,retrofit,power,0.00000000000
36,"('all-year', 'all-week', 'night')",R1,gassupply1,2020,A1,retrofit,gas,74.47258255856
37,"('all-year', 'all-week', 'night')",R1,gassupply2,2020,A1,retrofit,gas,132.43307011861
38,"('all-year', 'all-week', 'night')",R1,gassupply3,2020,A1,retrofit,gas,190.39355765750
39,"('all-year', 'all-week', 'morning')",R1,gassupply1,2020,A1,retrofit,gas,74.47258255856
40,"('all-year', 'all-week', 'morning')",R1,gassupply2,2020,A1,retrofit,gas,132.43307011861
41,"('all-year', 'all-week', 'morning')",R1,gassupply3,2020,A1,retrofit,gas,190.39355765750
42,"('all-year', 'all-week', 'afternoon')",R1,gassupply1,2020,A1,retrofit,gas,74.47258255856
43,"('all-year', 'all-week', 'afternoon')",R1,gassupply2,2020,A1,retrofit,gas,132.43307011861
44,"('all-year', 'all-week', 'afternoon')",R1,gassupply3,2020,A1,retrofit,gas,190.39355765750
45,"('all-year', 'all-week', 'early-peak')",R1,gassupply1,2020,A1,retrofit,gas,74.47258255856
46,"('all-year', 'all-week', 'early-peak')",R1,gassupply2,2020,A1,retrofit,gas,132.43307011861
47,"('all-year', 'all-week', 'early-peak')",R1,gassupply3,2020,A1,retrofit,gas,190.39355765750
48,"('all-year', 'all-week', 'late-peak')",R1,gassupply1,2020,A1,retrofit,gas,74.47258255856
49,"('all-year', 'all-week', 'late-peak')",R1,gassupply2,2020,A1,retrofit,gas,132.43307011861
50,"('all-year', 'all-week', 'late-peak')",R1,gassupply3,2020,A1,retrofit,gas,190.39355765750
51,"('all-year', 'all-week', 'evening')",R1,gassupply1,2020,A1,retrofit,gas,74.47258255856
52,"('all-year', 'all-week', 'evening')",R1,gassupply2,2020,A1,retrofit,gas,132.43307011861
53,"('all-year', 'all-week', 'evening')",R1,gassupply3,2020,A1,retrofit,gas,190.39355765750
54,"('all-year', 'all-week', 'night')",R1,gasboiler,2025,A1,retrofit,residential,5.85491370741
55,"('all-year', 'all-week', 'night')",R1,heatpump,2025,A1,retrofit,residential,17.42589053538
56,"('all-year', 'all-week', 'morning')",R1,gasboiler,2025,A1,retrofit,residential,6.97726619165
57,"('all-year', 'all-week', 'morning')",R1,heatpump,2025,A1,retrofit,residential,17.67613950658
58,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2025,A1,retrofit,residential,5.85491370741
59,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2025,A1,retrofit,residential,17.42589053538
60,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2025,A1,retrofit,residential,6.97726619165
61,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2025,A1,retrofit,residential,17.67613950658
62,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2025,A1,retrofit,residential,13.02731383122
63,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2025,A1,retrofit,residential,19.36368757189
64,"('all-year', 'all-week', 'evening')",R1,gasboiler,2025,A1,retrofit,residential,8.54678370703
65,"('all-year', 'all-week', 'evening')",R1,heatpump,2025,A1,retrofit,residential,18.05677146507
66,"('all-year', 'all-week', 'night')",R1,gasboiler,2025,A2,retrofit,residential,5.85491370741
67,"('all-year', 'all-week', 'night')",R1,heatpump,2025,A2,retrofit,residential,17.42589053538
68,"('all-year', 'all-week', 'morning')",R1,gasboiler,2025,A2,retrofit,residential,6.97726619165
69,"('all-year', 'all-week', 'morning')",R1,heatpump,2025,A2,retrofit,residential,17.67613950658
70,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2025,A2,retrofit,residential,5.85491370741
71,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2025,A2,retrofit,residential,17.42589053538
72,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2025,A2,retrofit,residential,6.97726619165
73,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2025,A2,retrofit,residential,17.67613950658
74,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2025,A2,retrofit,residential,13.02731383122
75,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2025,A2,retrofit,residential,19.36368757189
76,"('all-year', 'all-week', 'evening')",R1,gasboiler,2025,A2,retrofit,residential,8.54678370703
77,"('all-year', 'all-week', 'evening')",R1,heatpump,2025,A2,retrofit,residential,18.05677146507
78,"('all-year', 'all-week', 'night')",R1,gasCCGT,2025,A1,retrofit,power,12.85176551668
79,"('all-year', 'all-week', 'night')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
80,"('all-year', 'all-week', 'morning')",R1,gasCCGT,2025,A1,retrofit,power,14.46756607588
81,"('all-year', 'all-week', 'morning')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
82,"('all-year', 'all-week', 'afternoon')",R1,gasCCGT,2025,A1,retrofit,power,12.85176551668
83,"('all-year', 'all-week', 'afternoon')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
84,"('all-year', 'all-week', 'early-peak')",R1,gasCCGT,2025,A1,retrofit,power,14.46756607588
85,"('all-year', 'all-week', 'early-peak')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
86,"('all-year', 'all-week', 'late-peak')",R1,gasCCGT,2025,A1,retrofit,power,23.17754845354
87,"('all-year', 'all-week', 'late-peak')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
88,"('all-year', 'all-week', 'evening')",R1,gasCCGT,2025,A1,retrofit,power,16.72713008509
89,"('all-year', 'all-week', 'evening')",R1,windturbine,2025,A1,retrofit,power,21.40572936318
90,"('all-year', 'all-week', 'night')",R1,gassupply1,2025,A1,retrofit,gas,74.48406507504
91,"('all-year', 'all-week', 'night')",R1,gassupply2,2025,A1,retrofit,gas,132.50192387685
92,"('all-year', 'all-week', 'night')",R1,gassupply3,2025,A1,retrofit,gas,190.51978265750
93,"('all-year', 'all-week', 'morning')",R1,gassupply1,2025,A1,retrofit,gas,74.48406507504
94,"('all-year', 'all-week', 'morning')",R1,gassupply2,2025,A1,retrofit,gas,132.50192387685
95,"('all-year', 'all-week', 'morning')",R1,gassupply3,2025,A1,retrofit,gas,190.51978265750
96,"('all-year', 'all-week', 'afternoon')",R1,gassupply1,2025,A1,retrofit,gas,74.48406507504
97,"('all-year', 'all-week', 'afternoon')",R1,gassupply2,2025,A1,retrofit,gas,132.50192387685
98,"('all-year', 'all-week', 'afternoon')",R1,gassupply3,2025,A1,retrofit,gas,190.51978265750
99,"('all-year', 'all-week', 'early-peak')",R1,gassupply1,2025,A1,retrofit,gas,74.48406507504
100,"('all-year', 'all-week', 'early-peak')",R1,gassupply2,2025,A1,retrofit,gas,132.50192387685
101,"('all-year', 'all-week', 'early-peak')",R1,gassupply3,2025,A1,retrofit,gas,190.51978265750
102,"('all-year', 'all-week', 'late-peak')",R1,gassupply1,2025,A1,retrofit,gas,74.48406507504
103,"('all-year', 'all-week', 'late-peak')",R1,gassupply2,2025,A1,retrofit,gas,132.50192387685
104,"('all-year', 'all-week', 'late-peak')",R1,gassupply3,2025,A1,retrofit,gas,190.51978265750
105,"('all-year', 'all-week', 'evening')",R1,gassupply1,2025,A1,retrofit,gas,74.48406507504
106,"('all-year', 'all-week', 'evening')",R1,gassupply2,2025,A1,retrofit,gas,132.50192387685
107,"('all-year', 'all-week', 'evening')",R1,gassupply3,2025,A1,retrofit,gas,190.51978265750
108,"('all-year', 'all-week', 'night')",R1,gasboiler,2030,A1,retrofit,residential,8.78783305813
109,"('all-year', 'all-week', 'night')",R1,heatpump,2030,A1,retrofit,residential,17.59170659859
110,"('all-year', 'all-week', 'morning')",R1,gasboiler,2030,A1,retrofit,residential,9.91419921773
111,"('all-year', 'all-week', 'morning')",R1,heatpump,2030,A1,retrofit,residential,17.92492112880
112,"('all-year', 'all-week', 'afternoon')",R1,gasboiler,2030,A1,retrofit,residential,8.78783305813
113,"('all-year', 'all-week', 'afternoon')",R1,heatpump,2030,A1,retrofit,residential,17.59170659859
114,"('all-year', 'all-week', 'early-peak')",R1,gasboiler,2030,A1,retrofit,residential,9.91419921773
115,"('all-year', 'all-week', 'early-peak')",R1,heatpump,2030,A1,retrofit,residential,17.92492112880
116,"('all-year', 'all-week', 'late-peak')",R1,gasboiler,2030,A1,retrofit,residential,15.97628788338
117,"('all-year', 'all-week', 'late-peak')",R1,heatpump,2030,A1,retrofit,residential,19.86159598078
