,asset,year,region,technology,installed,capacity
9,1,2035,R1,gasboiler,2025,2.23840000000
10,1,2039,R1,gasboiler,2025,2.23840000000
18,2,2035,R1,gasboiler,2030,0.50730000000
19,2,2039,R1,gasboiler,2030,0.50730000000
20,2,2040,R1,gasboiler,2030,0.50730000000
21,2,2044,R1,gasboiler,2030,0.50730000000
29,3,2040,R1,gasboiler,2035,0.41330000000
30,3,2044,R1,gasboiler,2035,0.41330000000
31,3,2045,R1,gasboiler,2035,0.41330000000
32,3,2049,R1,gasboiler,2035,0.41330000000
36,4,2035,R1,heatpump,2025,0.54090000000
37,4,2039,R1,heatpump,2025,0.54090000000
45,5,2035,R1,heatpump,2030,0.62170000000
46,5,2039,R1,heatpump,2030,0.62170000000
47,5,2040,R1,heatpump,2030,0.62170000000
48,5,2044,R1,heatpump,2030,0.62170000000
56,6,2040,R1,heatpump,2035,0.39090000000
57,6,2044,R1,heatpump,2035,0.39090000000
58,6,2045,R1,heatpump,2035,0.39090000000
59,6,2049,R1,heatpump,2035,0.39090000000
