,asset,year,region,installed,technology,capacity
59,5,2055,R1,2045,gasboiler,0.07000000000
60,5,2059,R1,2045,gasboiler,0.07000000000
70,6,2055,R1,2045,heatpump,0.35070000000
71,6,2059,R1,2045,heatpump,0.35070000000
81,7,2055,R1,2050,gasboiler,0.02130000000
82,7,2059,R1,2050,gasboiler,0.02130000000
83,7,2060,R1,2050,gasboiler,0.02130000000
84,7,2064,R1,2050,gasboiler,0.02130000000
92,8,2055,R1,2050,heatpump,0.08420000000
93,8,2059,R1,2050,heatpump,0.08420000000
94,8,2060,R1,2050,heatpump,0.08420000000
95,8,2064,R1,2050,heatpump,0.08420000000
105,9,2060,R1,2055,gasboiler,0.01210000000
106,9,2064,R1,2055,gasboiler,0.01210000000
107,9,2065,R1,2055,gasboiler,0.01210000000
108,9,2069,R1,2055,gasboiler,0.01210000000
116,10,2060,R1,2055,heatpump,0.05890000000
117,10,2064,R1,2055,heatpump,0.05890000000
118,10,2065,R1,2055,heatpump,0.05890000000
119,10,2069,R1,2055,heatpump,0.05890000000
