,asset,year,region,technology,installed,capacity
0,0,2025,R1,gasboiler,2020,7.39630000000
1,0,2030,R1,gasboiler,2020,0.39630000000
2,0,2034,R1,gasboiler,2020,0.39630000000
11,1,2030,R1,gasboiler,2025,2.23840000000
12,1,2034,R1,gasboiler,2025,2.23840000000
13,1,2035,R1,gasboiler,2025,2.23840000000
14,1,2039,R1,gasboiler,2025,2.23840000000
20,2,2025,R1,heatpump,2020,0.92470000000
21,2,2030,R1,heatpump,2020,0.92470000000
22,2,2034,R1,heatpump,2020,0.92470000000
31,3,2030,R1,heatpump,2025,0.54090000000
32,3,2034,R1,heatpump,2025,0.54090000000
33,3,2035,R1,heatpump,2025,0.54090000000
34,3,2039,R1,heatpump,2025,0.54090000000
