,asset,year,region,installed,technology,capacity
32,3,2050,R1,2040,gasboiler,0.10710000000
33,3,2054,R1,2040,gasboiler,0.10710000000
42,4,2050,R1,2040,heatpump,0.38570000000
43,4,2054,R1,2040,heatpump,0.38570000000
52,5,2050,R1,2045,gasboiler,0.07000000000
53,5,2054,R1,2045,gasboiler,0.07000000000
54,5,2055,R1,2045,gasboiler,0.07000000000
55,5,2059,R1,2045,gasboiler,0.07000000000
62,6,2050,R1,2045,heatpump,0.35070000000
63,6,2054,R1,2045,heatpump,0.35070000000
64,6,2055,R1,2045,heatpump,0.35070000000
65,6,2059,R1,2045,heatpump,0.35070000000
74,7,2055,R1,2050,gasboiler,0.02130000000
75,7,2059,R1,2050,gasboiler,0.02130000000
76,7,2060,R1,2050,gasboiler,0.02130000000
77,7,2064,R1,2050,gasboiler,0.02130000000
84,8,2055,R1,2050,heatpump,0.08420000000
85,8,2059,R1,2050,heatpump,0.08420000000
86,8,2060,R1,2050,heatpump,0.08420000000
87,8,2064,R1,2050,heatpump,0.08420000000
