,asset,year,region,technology,installed,capacity
8,1,2045,R1,gasboiler,2035,0.41330000000
9,1,2049,R1,gasboiler,2035,0.41330000000
16,2,2045,R1,gasboiler,2040,0.10710000000
17,2,2049,R1,gasboiler,2040,0.10710000000
18,2,2050,R1,gasboiler,2040,0.10710000000
19,2,2054,R1,gasboiler,2040,0.10710000000
26,3,2050,R1,gasboiler,2045,0.07000000000
27,3,2054,R1,gasboiler,2045,0.07000000000
28,3,2055,R1,gasboiler,2045,0.07000000000
29,3,2059,R1,gasboiler,2045,0.07000000000
32,4,2045,R1,heatpump,2035,0.39090000000
33,4,2049,R1,heatpump,2035,0.39090000000
40,5,2045,R1,heatpump,2040,0.38570000000
41,5,2049,R1,heatpump,2040,0.38570000000
42,5,2050,R1,heatpump,2040,0.38570000000
43,5,2054,R1,heatpump,2040,0.38570000000
50,6,2050,R1,heatpump,2045,0.35070000000
51,6,2054,R1,heatpump,2045,0.35070000000
52,6,2055,R1,heatpump,2045,0.35070000000
53,6,2059,R1,heatpump,2045,0.35070000000
