,asset,year,region,technology,installed,capacity
0,0,2030,R1,gasboiler,2020,0.39630000000
1,0,2034,R1,gasboiler,2020,0.39630000000
10,1,2030,R1,gasboiler,2025,2.23840000000
11,1,2034,R1,gasboiler,2025,2.23840000000
12,1,2035,R1,gasboiler,2025,2.23840000000
13,1,2039,R1,gasboiler,2025,2.23840000000
22,2,2035,R1,gasboiler,2030,0.50730000000
23,2,2039,R1,gasboiler,2030,0.50730000000
24,2,2040,R1,gasboiler,2030,0.50730000000
25,2,2044,R1,gasboiler,2030,0.50730000000
30,3,2030,R1,heatpump,2020,0.92470000000
31,3,2034,R1,heatpump,2020,0.92470000000
40,4,2030,R1,heatpump,2025,0.54090000000
41,4,2034,R1,heatpump,2025,0.54090000000
42,4,2035,R1,heatpump,2025,0.54090000000
43,4,2039,R1,heatpump,2025,0.54090000000
52,5,2035,R1,heatpump,2030,0.62170000000
53,5,2039,R1,heatpump,2030,0.62170000000
54,5,2040,R1,heatpump,2030,0.62170000000
55,5,2044,R1,heatpump,2030,0.62170000000
