technology,dst_region,region,agent,sector,type,year,capacity
gasCCGT,R1,R1,A1,power,agent,2035,122.88000000000
gasCCGT,R1,R1,A1,power,agent,2020,240.00000000000
gassupply1,R1,R1,A1,gas,agent,2020,3000.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,463.93200000000
gassupply1,R1,R1,A1,gas,agent,2030,2100.00000000000
gasCCGT,R1,R1,A1,power,agent,2025,192.00000000000
gasCCGT,R1,R1,A1,power,agent,2030,153.60000000000
gassupply1,R1,R1,A1,gas,agent,2025,2100.00000000000
gassupply1,R1,R1,A1,gas,agent,2035,1470.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2025,355.93470000000
gasboiler,R1,R1,A1,residential,retrofit,2020,662.76000000000
gasboiler,R1,R1,A1,residential,retrofit,2035,394.34220000000
gasboiler,R1,R1,A1,residential,retrofit,2030,463.93200000000
gasboiler,R1,R1,A1,residential,retrofit,2035,74.53330000000
gasboiler,R1,R1,A1,residential,retrofit,2030,355.93470000000
gassupply1,R2,R2,A1,gas,agent,2035,595.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2030,74.53330000000
gassupply1,R2,R2,A1,gas,agent,2030,700.00000000000
gasboiler,R1,R1,A1,residential,retrofit,2035,444.15780000000
gasCCGT,R2,R2,A1,power,agent,2035,68.60000000000
gassupply1,R2,R2,A1,gas,agent,2025,700.00000000000
gasCCGT,R2,R2,A1,power,agent,2030,98.00000000000
gassupply1,R2,R2,A1,gas,agent,2020,1200.00000000000
gasCCGT,R2,R2,A1,power,agent,2025,140.00000000000
gasCCGT,R2,R2,A1,power,agent,2020,200.00000000000
gasboiler,R2,R2,A1,residential,retrofit,2020,35.00000000000
gasboiler,R2,R2,A1,residential,retrofit,2025,24.50000000000
gasboiler,R2,R2,A1,residential,retrofit,2035,17.15000000000
gasboiler,R2,R2,A1,residential,retrofit,2035,1.63330000000
gasboiler,R2,R2,A1,residential,retrofit,2030,24.50000000000
