,commodity,region,technology,year,consumption
0,gas,R1,gasboiler,2045,0.96470000000
1,electricity,R1,heatpump,2045,0.23400000000
2,gas,R1,gasboiler,2050,0.28610000000
3,electricity,R1,heatpump,2050,0.23400000000
4,electricity,R1,heatpump,2050,0.26730000000
5,gas,R1,gasboiler,2045,1.44710000000
6,electricity,R1,heatpump,2045,0.35100000000
7,gas,R1,gasboiler,2050,0.42920000000
8,electricity,R1,heatpump,2050,0.35100000000
9,electricity,R1,heatpump,2050,0.40100000000
10,gas,R1,gasboiler,2045,0.96470000000
11,electricity,R1,heatpump,2045,0.23400000000
12,gas,R1,gasboiler,2050,0.28610000000
13,electricity,R1,heatpump,2050,0.23400000000
14,electricity,R1,heatpump,2050,0.26730000000
15,gas,R1,gasboiler,2045,1.44710000000
16,electricity,R1,heatpump,2045,0.35100000000
17,gas,R1,gasboiler,2050,0.42920000000
18,electricity,R1,heatpump,2050,0.35100000000
19,electricity,R1,heatpump,2050,0.40100000000
20,gas,R1,gasboiler,2045,2.89420000000
21,electricity,R1,heatpump,2045,0.70200000000
22,gas,R1,gasboiler,2050,0.85840000000
23,electricity,R1,heatpump,2050,0.70200000000
24,electricity,R1,heatpump,2050,0.80200000000
25,gas,R1,gasboiler,2045,1.92950000000
26,electricity,R1,heatpump,2045,0.46800000000
27,gas,R1,gasboiler,2050,0.57230000000
28,electricity,R1,heatpump,2050,0.46800000000
29,electricity,R1,heatpump,2050,0.53470000000
