,asset,year,region,installed,technology,capacity
3,0,2040,R1,2020,gasCCGT,0.31200000000
4,0,2045,R1,2020,gasCCGT,0.31200000000
5,0,2049,R1,2020,gasCCGT,0.31200000000
6,0,2050,R1,2020,gasCCGT,0.31200000000
7,0,2054,R1,2020,gasCCGT,0.31200000000
8,0,2055,R1,2020,gasCCGT,0.31200000000
9,0,2059,R1,2020,gasCCGT,0.31200000000
18,1,2040,R1,2020,solarPV,10.00000000000
19,1,2045,R1,2020,solarPV,10.00000000000
20,1,2049,R1,2020,solarPV,10.00000000000
33,2,2040,R1,2020,windturbine,10.00000000000
34,2,2045,R1,2020,windturbine,10.00000000000
35,2,2049,R1,2020,windturbine,10.00000000000
48,3,2040,R1,2025,gasCCGT,3.31200000000
49,3,2045,R1,2025,gasCCGT,3.31200000000
50,3,2049,R1,2025,gasCCGT,3.31200000000
51,3,2050,R1,2025,gasCCGT,3.31200000000
52,3,2054,R1,2025,gasCCGT,3.31200000000
53,3,2055,R1,2025,gasCCGT,3.31200000000
54,3,2059,R1,2025,gasCCGT,3.31200000000
55,3,2060,R1,2025,gasCCGT,3.31200000000
56,3,2064,R1,2025,gasCCGT,3.31200000000
63,4,2040,R1,2025,solarPV,1.84610000000
64,4,2045,R1,2025,solarPV,1.84610000000
65,4,2049,R1,2025,solarPV,1.84610000000
66,4,2050,R1,2025,solarPV,1.84610000000
67,4,2054,R1,2025,solarPV,1.84610000000
78,5,2040,R1,2030,solarPV,4.90170000000
79,5,2045,R1,2030,solarPV,4.90170000000
80,5,2049,R1,2030,solarPV,4.90170000000
81,5,2050,R1,2030,solarPV,4.90170000000
82,5,2054,R1,2030,solarPV,4.90170000000
83,5,2055,R1,2030,solarPV,4.90170000000
84,5,2059,R1,2030,solarPV,4.90170000000
93,6,2040,R1,2035,solarPV,5.81690000000
94,6,2045,R1,2035,solarPV,5.81690000000
95,6,2049,R1,2035,solarPV,5.81690000000
96,6,2050,R1,2035,solarPV,5.81690000000
97,6,2054,R1,2035,solarPV,5.81690000000
98,6,2055,R1,2035,solarPV,5.81690000000
99,6,2059,R1,2035,solarPV,5.81690000000
100,6,2060,R1,2035,solarPV,5.81690000000
101,6,2064,R1,2035,solarPV,5.81690000000
109,7,2045,R1,2040,solarPV,10.00000000000
110,7,2049,R1,2040,solarPV,10.00000000000
111,7,2050,R1,2040,solarPV,10.00000000000
112,7,2054,R1,2040,solarPV,10.00000000000
113,7,2055,R1,2040,solarPV,10.00000000000
114,7,2059,R1,2040,solarPV,10.00000000000
115,7,2060,R1,2040,solarPV,10.00000000000
116,7,2064,R1,2040,solarPV,10.00000000000
117,7,2065,R1,2040,solarPV,10.00000000000
118,7,2069,R1,2040,solarPV,10.00000000000
124,8,2045,R1,2040,windturbine,1.68270000000
125,8,2049,R1,2040,windturbine,1.68270000000
126,8,2050,R1,2040,windturbine,1.68270000000
127,8,2054,R1,2040,windturbine,1.68270000000
128,8,2055,R1,2040,windturbine,1.68270000000
129,8,2059,R1,2040,windturbine,1.68270000000
130,8,2060,R1,2040,windturbine,1.68270000000
131,8,2064,R1,2040,windturbine,1.68270000000
132,8,2065,R1,2040,windturbine,1.68270000000
133,8,2069,R1,2040,windturbine,1.68270000000
