,asset,year,region,technology,installed,capacity
0,0,2045,R1,gasCCGT,2020,0.31200000000
1,0,2049,R1,gasCCGT,2020,0.31200000000
2,0,2050,R1,gasCCGT,2020,0.31200000000
3,0,2054,R1,gasCCGT,2020,0.31200000000
4,0,2055,R1,gasCCGT,2020,0.31200000000
5,0,2059,R1,gasCCGT,2020,0.31200000000
13,1,2045,R1,gasCCGT,2025,3.31200000000
14,1,2049,R1,gasCCGT,2025,3.31200000000
15,1,2050,R1,gasCCGT,2025,3.31200000000
16,1,2054,R1,gasCCGT,2025,3.31200000000
17,1,2055,R1,gasCCGT,2025,3.31200000000
18,1,2059,R1,gasCCGT,2025,3.31200000000
19,1,2060,R1,gasCCGT,2025,3.31200000000
20,1,2064,R1,gasCCGT,2025,3.31200000000
26,2,2045,R1,solarPV,2020,10.00000000000
27,2,2049,R1,solarPV,2020,10.00000000000
39,3,2045,R1,solarPV,2025,1.84610000000
40,3,2049,R1,solarPV,2025,1.84610000000
41,3,2050,R1,solarPV,2025,1.84610000000
42,3,2054,R1,solarPV,2025,1.84610000000
52,4,2045,R1,solarPV,2030,4.90170000000
53,4,2049,R1,solarPV,2030,4.90170000000
54,4,2050,R1,solarPV,2030,4.90170000000
55,4,2054,R1,solarPV,2030,4.90170000000
56,4,2055,R1,solarPV,2030,4.90170000000
57,4,2059,R1,solarPV,2030,4.90170000000
65,5,2045,R1,solarPV,2035,5.81690000000
66,5,2049,R1,solarPV,2035,5.81690000000
67,5,2050,R1,solarPV,2035,5.81690000000
68,5,2054,R1,solarPV,2035,5.81690000000
69,5,2055,R1,solarPV,2035,5.81690000000
70,5,2059,R1,solarPV,2035,5.81690000000
71,5,2060,R1,solarPV,2035,5.81690000000
72,5,2064,R1,solarPV,2035,5.81690000000
78,6,2045,R1,solarPV,2040,10.00000000000
79,6,2049,R1,solarPV,2040,10.00000000000
80,6,2050,R1,solarPV,2040,10.00000000000
81,6,2054,R1,solarPV,2040,10.00000000000
82,6,2055,R1,solarPV,2040,10.00000000000
83,6,2059,R1,solarPV,2040,10.00000000000
84,6,2060,R1,solarPV,2040,10.00000000000
85,6,2064,R1,solarPV,2040,10.00000000000
86,6,2065,R1,solarPV,2040,10.00000000000
87,6,2069,R1,solarPV,2040,10.00000000000
93,7,2050,R1,solarPV,2045,15.82000000000
94,7,2054,R1,solarPV,2045,15.82000000000
95,7,2055,R1,solarPV,2045,15.82000000000
96,7,2059,R1,solarPV,2045,15.82000000000
97,7,2060,R1,solarPV,2045,15.82000000000
98,7,2064,R1,solarPV,2045,15.82000000000
99,7,2065,R1,solarPV,2045,15.82000000000
100,7,2069,R1,solarPV,2045,15.82000000000
101,7,2070,R1,solarPV,2045,15.82000000000
102,7,2074,R1,solarPV,2045,15.82000000000
104,8,2045,R1,windturbine,2020,10.00000000000
105,8,2049,R1,windturbine,2020,10.00000000000
117,9,2045,R1,windturbine,2040,1.68270000000
118,9,2049,R1,windturbine,2040,1.68270000000
119,9,2050,R1,windturbine,2040,1.68270000000
120,9,2054,R1,windturbine,2040,1.68270000000
121,9,2055,R1,windturbine,2040,1.68270000000
122,9,2059,R1,windturbine,2040,1.68270000000
123,9,2060,R1,windturbine,2040,1.68270000000
124,9,2064,R1,windturbine,2040,1.68270000000
125,9,2065,R1,windturbine,2040,1.68270000000
126,9,2069,R1,windturbine,2040,1.68270000000
132,10,2050,R1,windturbine,2045,4.15860000000
133,10,2054,R1,windturbine,2045,4.15860000000
134,10,2055,R1,windturbine,2045,4.15860000000
135,10,2059,R1,windturbine,2045,4.15860000000
136,10,2060,R1,windturbine,2045,4.15860000000
137,10,2064,R1,windturbine,2045,4.15860000000
138,10,2065,R1,windturbine,2045,4.15860000000
139,10,2069,R1,windturbine,2045,4.15860000000
140,10,2070,R1,windturbine,2045,4.15860000000
141,10,2074,R1,windturbine,2045,4.15860000000
