region,timeslice,commodity,year,month,day,hour,supply
R1,0,heat,2050,all-year,all-week,night,1.05850000000
R1,0,heat,2055,all-year,all-week,night,1.06560000000
R1,1,heat,2050,all-year,all-week,morning,1.59520000000
R1,1,heat,2055,all-year,all-week,morning,1.60590000000
R1,2,heat,2050,all-year,all-week,mid-afternoon,1.05850000000
R1,2,heat,2055,all-year,all-week,mid-afternoon,1.06560000000
R1,3,heat,2050,all-year,all-week,early-peak,1.59520000000
R1,3,heat,2055,all-year,all-week,early-peak,1.60590000000
R1,4,heat,2050,all-year,all-week,late-peak,3.19040000000
R1,4,heat,2055,all-year,all-week,late-peak,3.21170000000
R1,5,heat,2050,all-year,all-week,evening,2.13190000000
R1,5,heat,2055,all-year,all-week,evening,2.14610000000
R1,6,heat,2050,all-year,all-week,early-morning,2.13190000000
R1,6,heat,2055,all-year,all-week,early-morning,2.14610000000
R1,7,heat,2050,all-year,all-week,late-afternoon,2.13190000000
R1,7,heat,2055,all-year,all-week,late-afternoon,2.14610000000
