commodity,year,asset,region,technology,installed,supply
heat,2030,0,R1,gasboiler,2020,1506.03200000000
heat,2030,3,R1,heatpump,2020,2638.02530000000
heat,2030,4,R1,heatpump,2025,162.94380000000
heat,2035,2,R1,gasboiler,2030,1666.49770000000
heat,2035,4,R1,heatpump,2025,162.94380000000
heat,2035,5,R1,heatpump,2030,2597.00640000000
CO2f,2030,0,R1,gasboiler,2020,97455.32950000001
CO2f,2035,2,R1,gasboiler,2030,107839.06460000000
