,asset,year,region,installed,technology,capacity
26,2,2050,R1,2040,gassupply1,6.66810000000
27,2,2054,R1,2040,gassupply1,6.66810000000
39,3,2055,R1,2050,gassupply1,5.80000000000
40,3,2060,R1,2050,gassupply1,5.80000000000
41,3,2064,R1,2050,gassupply1,5.80000000000
