asset,commodity,day,hour,installed,month,region,supply,technology,timeslice,year
2,heat,all-week,night,2020,all-year,R1,0.35000000000,gasboiler,0,2020
6,heat,all-week,night,2020,all-year,R1,0.35000000000,gasboiler,0,2020
2,heat,all-week,night,2020,all-year,R2,0.35000000000,gasboiler,0,2020
6,heat,all-week,night,2020,all-year,R2,0.35000000000,gasboiler,0,2020
1,CO2f,all-week,night,2020,all-year,R1,17.50000000000,gas_stove,0,2020
2,CO2f,all-week,night,2020,all-year,R1,22.64850000000,gasboiler,0,2020
5,CO2f,all-week,night,2020,all-year,R1,17.50000000000,gas_stove,0,2020
6,CO2f,all-week,night,2020,all-year,R1,22.64850000000,gasboiler,0,2020
1,CO2f,all-week,night,2020,all-year,R2,17.50000000000,gas_stove,0,2020
2,CO2f,all-week,night,2020,all-year,R2,22.64850000000,gasboiler,0,2020
5,CO2f,all-week,night,2020,all-year,R2,17.50000000000,gas_stove,0,2020
6,CO2f,all-week,night,2020,all-year,R2,22.64850000000,gasboiler,0,2020
1,cook,all-week,night,2020,all-year,R1,0.35000000000,gas_stove,0,2020
5,cook,all-week,night,2020,all-year,R1,0.35000000000,gas_stove,0,2020
1,cook,all-week,night,2020,all-year,R2,0.35000000000,gas_stove,0,2020
5,cook,all-week,night,2020,all-year,R2,0.35000000000,gas_stove,0,2020
2,heat,all-week,morning,2020,all-year,R1,0.50000000000,gasboiler,1,2020
6,heat,all-week,morning,2020,all-year,R1,0.50000000000,gasboiler,1,2020
2,heat,all-week,morning,2020,all-year,R2,0.50000000000,gasboiler,1,2020
6,heat,all-week,morning,2020,all-year,R2,0.50000000000,gasboiler,1,2020
1,CO2f,all-week,morning,2020,all-year,R1,25.00000000000,gas_stove,1,2020
2,CO2f,all-week,morning,2020,all-year,R1,32.35500000000,gasboiler,1,2020
5,CO2f,all-week,morning,2020,all-year,R1,25.00000000000,gas_stove,1,2020
6,CO2f,all-week,morning,2020,all-year,R1,32.35500000000,gasboiler,1,2020
1,CO2f,all-week,morning,2020,all-year,R2,25.00000000000,gas_stove,1,2020
2,CO2f,all-week,morning,2020,all-year,R2,32.35500000000,gasboiler,1,2020
