,asset,year,region,technology,installed,capacity
10,1,2045,R1,windturbine,2020,3.05830000000
11,1,2049,R1,windturbine,2020,3.05830000000
20,2,2045,R1,windturbine,2025,1.12500000000
21,2,2049,R1,windturbine,2025,1.12500000000
22,2,2050,R1,windturbine,2025,1.12500000000
23,2,2054,R1,windturbine,2025,1.12500000000
30,3,2045,R1,windturbine,2030,1.66670000000
31,3,2049,R1,windturbine,2030,1.66670000000
32,3,2050,R1,windturbine,2030,1.66670000000
33,3,2054,R1,windturbine,2030,1.66670000000
34,3,2055,R1,windturbine,2030,1.66670000000
35,3,2059,R1,windturbine,2030,1.66670000000
42,4,2050,R1,windturbine,2045,9.74170000000
43,4,2054,R1,windturbine,2045,9.74170000000
44,4,2055,R1,windturbine,2045,9.74170000000
45,4,2059,R1,windturbine,2045,9.74170000000
46,4,2060,R1,windturbine,2045,9.74170000000
47,4,2070,R1,windturbine,2045,9.74170000000
48,4,2074,R1,windturbine,2045,9.74170000000
