,asset,year,region,technology,installed,capacity
10,1,2055,R1,windturbine,2030,1.66670000000
11,1,2059,R1,windturbine,2030,1.66670000000
20,2,2055,R1,windturbine,2045,9.74170000000
21,2,2059,R1,windturbine,2045,9.74170000000
22,2,2060,R1,windturbine,2045,9.74170000000
23,2,2070,R1,windturbine,2045,9.74170000000
24,2,2074,R1,windturbine,2045,9.74170000000
30,3,2055,R1,windturbine,2050,1.12500000000
31,3,2059,R1,windturbine,2050,1.12500000000
32,3,2060,R1,windturbine,2050,1.12500000000
33,3,2070,R1,windturbine,2050,1.12500000000
34,3,2074,R1,windturbine,2050,1.12500000000
35,3,2075,R1,windturbine,2050,1.12500000000
36,3,2079,R1,windturbine,2050,1.12500000000
42,4,2060,R1,windturbine,2055,4.13330000000
43,4,2070,R1,windturbine,2055,4.13330000000
44,4,2074,R1,windturbine,2055,4.13330000000
45,4,2075,R1,windturbine,2055,4.13330000000
46,4,2079,R1,windturbine,2055,4.13330000000
47,4,2080,R1,windturbine,2055,4.13330000000
48,4,2084,R1,windturbine,2055,4.13330000000
